arguments,image_before,image_after
Bread,../dataset/pick_up/success/5_color.png,../dataset/pick_up/success/6_color.png
FryingPan,../dataset/pick_up/success/9_color.png,../dataset/pick_up/success/10_color.png
Lettuce,../dataset/pick_up/success/11_color.png,../dataset/pick_up/success/12_color.png
BreadSlice,../dataset/pick_up/success/17_color.png,../dataset/pick_up/success/18_color.png
Pot,../dataset/pick_up/success/23_color.png,../dataset/pick_up/success/24_color.png
Book,../dataset/pick_up/is_facing/book9_color.png,../dataset/pick_up/is_facing/book10_color.png
Bread,../dataset/pick_up/is_facing/bread3_color.png,../dataset/pick_up/is_facing/bread4_color.png
Kettle,../dataset/pick_up/is_facing/kettle5_color.png,../dataset/pick_up/is_facing/kettle6_color.png
Bowl,../dataset/pick_up/is_holding/1_color.png,../dataset/pick_up/is_holding/2_color.png
Book,../dataset/pick_up/is_holding/3_color.png,../dataset/pick_up/is_holding/4_color.png
Spatula,../dataset/pick_up/is_holding/9_color.png,../dataset/pick_up/is_holding/10_color.png
CoffeeMachine,../dataset/pick_up/is_movable/1_color.png,../dataset/pick_up/is_movable/2_color.png
DishWasher,../dataset/pick_up/is_movable/3_color.png,../dataset/pick_up/is_movable/4_color.png
Fridge,../dataset/pick_up/is_movable/5_color.png,../dataset/pick_up/is_movable/6_color.png
Bread,../dataset/pick_up/is_nearby/1_color.png,../dataset/pick_up/is_nearby/2_color.png
Potato,../dataset/pick_up/is_nearby/5_color.png,../dataset/pick_up/is_nearby/6_color.png
Kettle,../dataset/pick_up/is_nearby/9_color.png,../dataset/pick_up/is_nearby/10_color.png
Bowl,../dataset/pick_up/is_path_obstructed/1_color.png,../dataset/pick_up/is_path_obstructed/2_color.png
PaperTowelRoll,../dataset/pick_up/is_path_obstructed/5_color.png,../dataset/pick_up/is_path_obstructed/6_color.png
Book,../dataset/pick_up/is_path_obstructed/11_color.png,../dataset/pick_up/is_path_obstructed/12_color.png
Bread,../dataset/pick_up/is_within_gripper_reach/3_color.png,../dataset/pick_up/is_within_gripper_reach/4_color.png
Bowl,../dataset/pick_up/is_within_gripper_reach/5_color.png,../dataset/pick_up/is_within_gripper_reach/6_color.png
Lettuce,../dataset/pick_up/is_within_gripper_reach/7_color.png,../dataset/pick_up/is_within_gripper_reach/8_color.png
