argument,image
Faucet,../dataset/toggle_on/success/2_color.png
Toaster,../dataset/toggle_on/success/6_color.png
StoveKnob,../dataset/toggle_on/success/11_color.png
LightSwitch,../dataset/toggle_on/success/20_color.png
Microwave,../dataset/toggle_on/success/24_color.png
LightSwitch,../dataset/toggle_on/is_facing/4_color.png
StoveKnob,../dataset/toggle_on/is_facing/12_color.png
Toaster,../dataset/toggle_on/is_facing/24_color.png
StoveKnob,../dataset/toggle_on/is_holding/2_color.png
Faucet,../dataset/toggle_on/is_holding/7_color.png
Toaster,../dataset/toggle_on/is_holding/14_color.png
StoveKnob,../dataset/toggle_on/is_nearby/10_color.png
Faucet,../dataset/toggle_on/is_nearby/16_color.png
Toaster,../dataset/toggle_on/is_nearby/22_color.png
Faucet,../dataset/toggle_on/is_on/4_color.png
Toaster,../dataset/toggle_on/is_on/8_color.png
LightSwitch,../dataset/toggle_on/is_on/22_color.png
CeilingLight,../dataset/toggle_on/is_togglable/11_color.png
Kettle,../dataset/toggle_on/is_togglable/9_color.png
WashingMachine,../dataset/toggle_on/is_togglable/4_color.png
LightSwitch,../dataset/toggle_on/is_within_gripper_reach/8_color.png
StoveKnob,../dataset/toggle_on/is_within_gripper_reach/14_color.png
Toaster,../dataset/toggle_on/is_within_gripper_reach/26_color.png
