arguments,image_before,image_after
Faucet,../dataset/toggle_on/success/2_color.png,../dataset/toggle_on/success/3_color.png
Toaster,../dataset/toggle_on/success/6_color.png,../dataset/toggle_on/success/7_color.png
StoveKnob,../dataset/toggle_on/success/11_color.png,../dataset/toggle_on/success/12_color.png
LightSwitch,../dataset/toggle_on/success/20_color.png,../dataset/toggle_on/success/21_color.png
Microwave,../dataset/toggle_on/success/24_color.png,../dataset/toggle_on/success/25_color.png
LightSwitch,../dataset/toggle_on/is_facing/4_color.png,../dataset/toggle_on/is_facing/5_color.png
StoveKnob,../dataset/toggle_on/is_facing/12_color.png,../dataset/toggle_on/is_facing/13_color.png
Toaster,../dataset/toggle_on/is_facing/24_color.png,../dataset/toggle_on/is_facing/25_color.png
StoveKnob,../dataset/toggle_on/is_holding/2_color.png,../dataset/toggle_on/is_holding/3_color.png
Faucet,../dataset/toggle_on/is_holding/7_color.png,../dataset/toggle_on/is_holding/8_color.png
Toaster,../dataset/toggle_on/is_holding/14_color.png,../dataset/toggle_on/is_holding/15_color.png
StoveKnob,../dataset/toggle_on/is_nearby/10_color.png,../dataset/toggle_on/is_nearby/11_color.png
Faucet,../dataset/toggle_on/is_nearby/16_color.png,../dataset/toggle_on/is_nearby/17_color.png
Toaster,../dataset/toggle_on/is_nearby/22_color.png,../dataset/toggle_on/is_nearby/23_color.png
Faucet,../dataset/toggle_on/is_on/4_color.png,../dataset/toggle_on/is_on/5_color.png
Toaster,../dataset/toggle_on/is_on/8_color.png,../dataset/toggle_on/is_on/9_color.png
LightSwitch,../dataset/toggle_on/is_on/22_color.png,../dataset/toggle_on/is_on/23_color.png
CeilingLight,../dataset/toggle_on/is_togglable/10_color.png,../dataset/toggle_on/is_togglable/11_color.png
Kettle,../dataset/toggle_on/is_togglable/8_color.png,../dataset/toggle_on/is_togglable/9_color.png
WashingMachine,../dataset/toggle_on/is_togglable/4_color.png,../dataset/toggle_on/is_togglable/5_color.png
LightSwitch,../dataset/toggle_on/is_within_gripper_reach/8_color.png,../dataset/toggle_on/is_within_gripper_reach/9_color.png
StoveKnob,../dataset/toggle_on/is_within_gripper_reach/14_color.png,../dataset/toggle_on/is_within_gripper_reach/15_color.png
Toaster,../dataset/toggle_on/is_within_gripper_reach/26_color.png,../dataset/toggle_on/is_within_gripper_reach/27_color.png
