argument,image
LightSwitch,../dataset/toggle_off/success/3_color.png
Microwave,../dataset/toggle_off/success/28_color.png
Faucet,../dataset/toggle_off/success/32_color.png
StoveKnob,../dataset/toggle_off/success/54_color.png
Toaster,../dataset/toggle_off/success/78_color.png
LightSwitch,../dataset/toggle_off/is_facing/9_color.png
StoveKnob,../dataset/toggle_off/is_facing/58_color.png
Toaster,../dataset/toggle_off/is_facing/81_color.png
LightSwitch,../dataset/toggle_off/is_gripper_within_reach/13_color.png
Microwave,../dataset/toggle_off/is_gripper_within_reach/30_color.png
StoveKnob,../dataset/toggle_off/is_gripper_within_reach/62_color.png
LightSwitch,../dataset/toggle_off/is_holding/15_color.png
Faucet,../dataset/toggle_off/is_holding/48_color.png
StoveKnob,../dataset/toggle_off/is_holding/64_color.png
Microwave,../dataset/toggle_off/is_nearby/32_color.png
Toaster,../dataset/toggle_off/is_nearby/87_color.png
LightSwitch,../dataset/toggle_off/is_nearby/17_color.png
LightSwitch,../dataset/toggle_off/is_off/22_color.png
Faucet,../dataset/toggle_off/is_off/34_color.png
StoveKnob,../dataset/toggle_off/is_off/66_color.png
WashingMachine,../dataset/toggle_off/is_togglable/4_color.png
Kettle,../dataset/toggle_on/is_togglable/9_color.png
CeilingLight,../dataset/toggle_on/is_togglable/11_color.png
